ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
KEN,Kenya,total,Drinking water,2000,47.52154,14661159.51,At least basic
KEN,Kenya,rural,Drinking water,2000,37.52961,9275295.1,At least basic
KEN,Kenya,urban,Drinking water,2000,87.76051,5385863.888,At least basic
KEN,Kenya,total,Sanitation,2000,3.58603,1106348.29,Basic service
KEN,Kenya,rural,Sanitation,2000,2.06502,510362.4792,Basic service
KEN,Kenya,urban,Sanitation,2000,9.71135,595985.7808,Basic service
KEN,Kenya,total,Sanitation,2000,18.89503,5829421.502,Limited service
KEN,Kenya,rural,Sanitation,2000,13.12352,3243426.517,Limited service
KEN,Kenya,urban,Sanitation,2000,42.13776,2585994.807,Limited service
KEN,Kenya,total,Drinking water,2000,7.03804,2171349.362,Limited service
KEN,Kenya,rural,Drinking water,2000,7.69011,1900579.827,Limited service
KEN,Kenya,urban,Drinking water,2000,4.41208,270769.4235,Limited service
KEN,Kenya,total,Sanitation,2000,18.37885,5670170.165,Open defecation
KEN,Kenya,rural,Sanitation,2000,22.1796,5481601.225,Open defecation
KEN,Kenya,urban,Sanitation,2000,3.07265,188568.6152,Open defecation
KEN,Kenya,total,Drinking water,2000,29.00855,8949602.523,Surface water
KEN,Kenya,rural,Drinking water,2000,35.62526,8804641.509,Surface water
KEN,Kenya,urban,Drinking water,2000,2.36207,144960.4918,Surface water
KEN,Kenya,total,Sanitation,2000,24.46713,7548504.009,Safely managed service
KEN,Kenya,rural,Sanitation,2000,25.50363,6303121.822,Safely managed service
KEN,Kenya,urban,Sanitation,2000,20.293,1245381.82,Safely managed service
KEN,Kenya,total,Sanitation,2000,34.67295,10697162.05,Unimproved
KEN,Kenya,rural,Sanitation,2000,37.12822,9176091.968,Unimproved
KEN,Kenya,urban,Sanitation,2000,24.78524,1521070.483,Unimproved
KEN,Kenya,total,Drinking water,2000,16.43187,5069494.607,Unimproved
KEN,Kenya,rural,Drinking water,2000,19.15502,4734087.564,Unimproved
KEN,Kenya,urban,Drinking water,2000,5.46534,335407.6967,Unimproved
KEN,Kenya,total,Drinking water,2001,48.2519,15344269.46,At least basic
KEN,Kenya,rural,Drinking water,2001,38.24283,9700014.41,At least basic
KEN,Kenya,urban,Drinking water,2001,87.69721,5644255.431,At least basic
KEN,Kenya,total,Sanitation,2001,3.60142,1145264.344,Basic service
KEN,Kenya,rural,Sanitation,2001,2.06608,524046.5979,Basic service
KEN,Kenya,urban,Sanitation,2001,9.65213,621217.8121,Basic service
KEN,Kenya,total,Sanitation,2001,19.18514,6100940.675,Limited service
KEN,Kenya,rural,Sanitation,2001,13.2762,3367411.306,Limited service
KEN,Kenya,urban,Sanitation,2001,42.47202,2733529.527,Limited service
KEN,Kenya,total,Drinking water,2001,7.13061,2267557.929,Limited service
KEN,Kenya,rural,Drinking water,2001,7.82977,1985964.817,Limited service
KEN,Kenya,urban,Drinking water,2001,4.37523,281593.1616,Limited service
KEN,Kenya,total,Sanitation,2001,17.80468,5661950.079,Open defecation
KEN,Kenya,rural,Sanitation,2001,21.56833,5470650.344,Open defecation
KEN,Kenya,urban,Sanitation,2001,2.97231,191299.8526,Open defecation
KEN,Kenya,total,Drinking water,2001,28.52325,9070489.839,Surface water
KEN,Kenya,rural,Drinking water,2001,35.11931,8907756.248,Surface water
KEN,Kenya,urban,Drinking water,2001,2.52846,162733.7778,Surface water
KEN,Kenya,total,Sanitation,2001,24.76418,7875095.514,Safely managed service
KEN,Kenya,rural,Sanitation,2001,25.8233,6549893.21,Safely managed service
KEN,Kenya,urban,Sanitation,2001,20.59024,1325202.48,Safely managed service
KEN,Kenya,total,Sanitation,2001,34.64457,11017092.36,Unimproved
KEN,Kenya,rural,Sanitation,2001,37.26608,9452270.517,Unimproved
KEN,Kenya,urban,Sanitation,2001,24.31331,1564821.859,Unimproved
KEN,Kenya,total,Drinking water,2001,16.09425,5118025.773,Unimproved
KEN,Kenya,rural,Drinking water,2001,18.8081,4770536.525,Unimproved
KEN,Kenya,urban,Drinking water,2001,5.39909,347489.1298,Unimproved
KEN,Kenya,total,Drinking water,2002,48.97944,16055375.17,At least basic
KEN,Kenya,rural,Drinking water,2002,38.95624,10140359.56,At least basic
KEN,Kenya,urban,Drinking water,2002,87.63385,5915016.152,At least basic
KEN,Kenya,total,Sanitation,2002,3.63028,1190000.537,Basic service
KEN,Kenya,rural,Sanitation,2002,2.06871,538488.4219,Basic service
KEN,Kenya,urban,Sanitation,2002,9.65247,651512.1799,Basic service
KEN,Kenya,total,Sanitation,2002,19.42197,6366486.849,Limited service
KEN,Kenya,rural,Sanitation,2002,13.40742,3489969.636,Limited service
KEN,Kenya,urban,Sanitation,2002,42.61701,2876517.42,Limited service
KEN,Kenya,total,Drinking water,2002,7.22162,2367235.389,Limited service
KEN,Kenya,rural,Drinking water,2002,7.96924,2074402.948,Limited service
KEN,Kenya,urban,Drinking water,2002,4.33846,292832.5341,Limited service
KEN,Kenya,total,Sanitation,2002,17.23316,5648998.53,Open defecation
KEN,Kenya,rural,Sanitation,2002,20.95706,5455149.936,Open defecation
KEN,Kenya,urban,Sanitation,2002,2.87196,193848.8275,Open defecation
KEN,Kenya,total,Drinking water,2002,28.04101,9191794.952,Surface water
KEN,Kenya,rural,Drinking water,2002,34.61335,9009900.865,Surface water
KEN,Kenya,urban,Drinking water,2002,2.69486,181894.4693,Surface water
KEN,Kenya,total,Sanitation,2002,25.10331,8228820.846,Safely managed service
KEN,Kenya,rural,Sanitation,2002,26.16286,6810225.939,Safely managed service
KEN,Kenya,urban,Sanitation,2002,21.01718,1418595.222,Safely managed service
KEN,Kenya,total,Sanitation,2002,34.61128,11345516.21,Unimproved
KEN,Kenya,rural,Sanitation,2002,37.40395,9736296.093,Unimproved
KEN,Kenya,urban,Sanitation,2002,23.84138,1609219.821,Unimproved
KEN,Kenya,total,Drinking water,2002,15.75792,5165417.493,Unimproved
KEN,Kenya,rural,Drinking water,2002,18.46117,4805466.624,Unimproved
KEN,Kenya,urban,Drinking water,2002,5.33284,359950.3442,Unimproved
KEN,Kenya,total,Drinking water,2003,49.70406,16783630.76,At least basic
KEN,Kenya,rural,Drinking water,2003,39.66985,10589305.62,At least basic
KEN,Kenya,urban,Drinking water,2003,87.57041,6194325.497,At least basic
KEN,Kenya,total,Sanitation,2003,3.65936,1235659.245,Basic service
KEN,Kenya,rural,Sanitation,2003,2.07134,552915.9013,Basic service
KEN,Kenya,urban,Sanitation,2003,9.65208,682743.4205,Basic service
KEN,Kenya,total,Sanitation,2003,19.65935,6638396.478,Limited service
KEN,Kenya,rural,Sanitation,2003,13.53816,3613820.076,Limited service
KEN,Kenya,urban,Sanitation,2003,42.75904,3024576.572,Limited service
KEN,Kenya,total,Drinking water,2003,7.31107,2468736.282,Limited service
KEN,Kenya,rural,Drinking water,2003,8.1085,2164450.449,Limited service
KEN,Kenya,urban,Drinking water,2003,4.30175,304285.8545,Limited service
KEN,Kenya,total,Sanitation,2003,16.66435,5627072.101,Open defecation
KEN,Kenya,rural,Sanitation,2003,20.34579,5431020.415,Open defecation
KEN,Kenya,urban,Sanitation,2003,2.77162,196051.7091,Open defecation
KEN,Kenya,total,Drinking water,2003,27.56196,9306879.64,Surface water
KEN,Kenya,rural,Drinking water,2003,34.1074,9104488.373,Surface water
KEN,Kenya,urban,Drinking water,2003,2.86125,202391.2994,Surface water
KEN,Kenya,total,Sanitation,2003,25.44396,8591692.614,Safely managed service
KEN,Kenya,rural,Sanitation,2003,26.5029,7074573.755,Safely managed service
KEN,Kenya,urban,Sanitation,2003,21.44781,1517118.957,Safely managed service
KEN,Kenya,total,Sanitation,2003,34.57298,11674301.54,Unimproved
KEN,Kenya,rural,Sanitation,2003,37.54181,10021255.88,Unimproved
KEN,Kenya,urban,Sanitation,2003,23.36944,1653046.331,Unimproved
KEN,Kenya,total,Drinking water,2003,15.42292,5207875.319,Unimproved
KEN,Kenya,rural,Drinking water,2003,18.11424,4835341.559,Unimproved
KEN,Kenya,urban,Drinking water,2003,5.26659,372534.3491,Unimproved
KEN,Kenya,total,Drinking water,2004,50.42562,17544000.36,At least basic
KEN,Kenya,rural,Drinking water,2004,40.38366,11056115.98,At least basic
KEN,Kenya,urban,Drinking water,2004,87.50691,6487884.974,At least basic
KEN,Kenya,total,Sanitation,2004,3.68863,1283342.219,Basic service
KEN,Kenya,rural,Sanitation,2004,2.07398,567807.0511,Basic service
KEN,Kenya,urban,Sanitation,2004,9.65095,715535.2367,Basic service
KEN,Kenya,total,Sanitation,2004,19.89726,6922621.349,Limited service
KEN,Kenya,rural,Sanitation,2004,13.66841,3742094.884,Limited service
KEN,Kenya,urban,Sanitation,2004,42.89812,3180526.714,Limited service
KEN,Kenya,total,Drinking water,2004,7.39891,2574216.227,Limited service
KEN,Kenya,rural,Drinking water,2004,8.24757,2257994.881,Limited service
KEN,Kenya,urban,Drinking water,2004,4.26511,316221.4185,Limited service
